2024-08-27 01:45:46,739 - INFO - Identified Order Block: {'Order Block': 'Bearish', 'Order Block High': 2530.17, 'Order Block Low': 2520.38}
2024-08-27 01:45:46,824 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2483.51, 'Order Block Low': 2478.55}
2024-08-27 01:45:46,873 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2511.24, 'Order Block Low': 2508.66}
2024-08-27 01:48:08,880 - INFO - Identified Order Block: {'Order Block': 'Bearish', 'Order Block High': 2418.63, 'Order Block Low': 2414.05}
2024-08-27 01:48:08,932 - INFO - Identified Order Block: {'Order Block': 'Bearish', 'Order Block High': 2417.98, 'Order Block Low': 2413.87}
2024-08-27 01:48:08,966 - INFO - Identified Order Block: {'Order Block': 'Bearish', 'Order Block High': 2439.69, 'Order Block Low': 2429.49}
2024-08-27 01:48:08,983 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2422.81, 'Order Block Low': 2419.98}
2024-08-27 01:48:09,050 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2467.57, 'Order Block Low': 2461.74}
2024-08-27 01:48:09,113 - INFO - Identified Order Block: {'Order Block': 'Bearish', 'Order Block High': 2469.11, 'Order Block Low': 2461.16}
2024-08-27 01:48:09,167 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2400.13, 'Order Block Low': 2397.08}
2024-08-27 01:48:09,231 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2399.2, 'Order Block Low': 2390.0}
2024-08-27 01:48:09,297 - INFO - Identified Order Block: {'Order Block': 'Bearish', 'Order Block High': 2399.24, 'Order Block Low': 2396.08}
2024-08-27 01:48:09,431 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2392.47, 'Order Block Low': 2383.48}
2024-08-27 01:48:09,431 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2400.3, 'Order Block Low': 2385.04}
2024-08-27 01:48:09,509 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2436.81, 'Order Block Low': 2431.98}
2024-08-27 01:48:09,697 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2398.98, 'Order Block Low': 2393.89}
2024-08-27 01:48:10,067 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2505.82, 'Order Block Low': 2497.29}
2024-08-27 01:48:10,090 - INFO - Identified Order Block: {'Order Block': 'Bearish', 'Order Block High': 2530.17, 'Order Block Low': 2520.38}
2024-08-27 01:48:10,198 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2483.51, 'Order Block Low': 2478.55}
2024-08-27 01:48:10,264 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2511.24, 'Order Block Low': 2508.66}
2024-08-27 01:50:30,567 - INFO - Identified Order Block: {'Order Block': 'Bearish', 'Order Block High': 2418.63, 'Order Block Low': 2414.05}
2024-08-27 01:50:30,605 - INFO - Identified Order Block: {'Order Block': 'Bearish', 'Order Block High': 2417.98, 'Order Block Low': 2413.87}
2024-08-27 01:50:30,636 - INFO - Identified Order Block: {'Order Block': 'Bearish', 'Order Block High': 2439.69, 'Order Block Low': 2429.49}
2024-08-27 01:50:30,652 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2422.81, 'Order Block Low': 2419.98}
2024-08-27 01:50:30,701 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2467.57, 'Order Block Low': 2461.74}
2024-08-27 01:50:30,756 - INFO - Identified Order Block: {'Order Block': 'Bearish', 'Order Block High': 2469.11, 'Order Block Low': 2461.16}
2024-08-27 01:50:30,817 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2400.13, 'Order Block Low': 2397.08}
2024-08-27 01:50:30,888 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2399.2, 'Order Block Low': 2390.0}
2024-08-27 01:50:30,954 - INFO - Identified Order Block: {'Order Block': 'Bearish', 'Order Block High': 2399.24, 'Order Block Low': 2396.08}
2024-08-27 01:50:31,084 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2392.47, 'Order Block Low': 2383.48}
2024-08-27 01:50:31,084 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2400.3, 'Order Block Low': 2385.04}
2024-08-27 01:50:31,153 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2436.81, 'Order Block Low': 2431.98}
2024-08-27 01:50:31,335 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2398.98, 'Order Block Low': 2393.89}
2024-08-27 01:50:31,637 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2505.82, 'Order Block Low': 2497.29}
2024-08-27 01:50:31,654 - INFO - Identified Order Block: {'Order Block': 'Bearish', 'Order Block High': 2530.17, 'Order Block Low': 2520.38}
2024-08-27 01:50:31,734 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2483.51, 'Order Block Low': 2478.55}
2024-08-27 01:50:31,785 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2511.24, 'Order Block Low': 2508.66}
2024-08-27 01:51:54,844 - INFO - Identified Order Block: {'Order Block': 'Bearish', 'Order Block High': 2418.63, 'Order Block Low': 2414.05}
2024-08-27 01:51:54,878 - INFO - Identified Order Block: {'Order Block': 'Bearish', 'Order Block High': 2417.98, 'Order Block Low': 2413.87}
2024-08-27 01:51:54,894 - INFO - Identified Order Block: {'Order Block': 'Bearish', 'Order Block High': 2439.69, 'Order Block Low': 2429.49}
2024-08-27 01:51:54,909 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2422.81, 'Order Block Low': 2419.98}
2024-08-27 01:51:54,959 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2467.57, 'Order Block Low': 2461.74}
2024-08-27 01:51:55,012 - INFO - Identified Order Block: {'Order Block': 'Bearish', 'Order Block High': 2469.11, 'Order Block Low': 2461.16}
2024-08-27 01:51:55,046 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2400.13, 'Order Block Low': 2397.08}
2024-08-27 01:51:55,096 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2399.2, 'Order Block Low': 2390.0}
2024-08-27 01:51:55,179 - INFO - Identified Order Block: {'Order Block': 'Bearish', 'Order Block High': 2399.24, 'Order Block Low': 2396.08}
2024-08-27 01:51:55,313 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2392.47, 'Order Block Low': 2383.48}
2024-08-27 01:51:55,313 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2400.3, 'Order Block Low': 2385.04}
2024-08-27 01:51:55,362 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2436.81, 'Order Block Low': 2431.98}
2024-08-27 01:51:55,546 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2398.98, 'Order Block Low': 2393.89}
2024-08-27 01:51:55,844 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2505.82, 'Order Block Low': 2497.29}
2024-08-27 01:51:55,844 - INFO - Identified Order Block: {'Order Block': 'Bearish', 'Order Block High': 2530.17, 'Order Block Low': 2520.38}
2024-08-27 01:51:55,944 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2483.51, 'Order Block Low': 2478.55}
2024-08-27 01:51:55,976 - INFO - Identified Order Block: {'Order Block': 'Bullish', 'Order Block High': 2511.24, 'Order Block Low': 2508.66}
2024-08-27 01:55:02,407 - INFO - Thread Started: <Thread(Thread-1 (run_for_symbol), started 1456)>
2024-08-27 01:55:02,415 - INFO - Thread Started: <Thread(Thread-2 (run_for_symbol), started 13740)>
2024-08-27 01:55:02,440 - INFO - Thread Started: <Thread(Thread-3 (run_for_symbol), started 3640)>
2024-08-27 01:55:02,472 - INFO - Thread Started: <Thread(Thread-4 (run_for_symbol), started 9268)>
2024-08-27 01:55:02,665 - INFO - Thread Started: <Thread(Thread-5 (run_for_symbol), started 13920)>
2024-08-27 01:55:02,751 - INFO - Thread Started: <Thread(Thread-6 (run_for_symbol), started 6392)>
2024-08-27 01:55:02,962 - INFO - Thread Started: <Thread(Thread-7 (run_for_symbol), started 9260)>
2024-08-27 01:56:44,435 - DEBUG - cmd: where.exe tbb.dll
cwd: None
2024-08-27 01:56:44,818 - DEBUG - TBB already found in load path
2024-08-27 01:56:44,851 - INFO - Disabling yearly seasonality. Run prophet with yearly_seasonality=True to override this.
2024-08-27 01:56:44,918 - DEBUG - input tempfile: C:\Users\GREATS~1\AppData\Local\Temp\tmptd8krvnh\zzy954_c.json
2024-08-27 01:56:45,035 - DEBUG - input tempfile: C:\Users\GREATS~1\AppData\Local\Temp\tmptd8krvnh\ps8kst4s.json
2024-08-27 01:56:45,068 - DEBUG - idx 0
2024-08-27 01:56:45,068 - DEBUG - running CmdStan, num_threads: None
2024-08-27 01:56:45,068 - DEBUG - CmdStan args: ['D:\\my projects\\Light Wave\\Blue Kite\\kite_env\\Lib\\site-packages\\prophet\\stan_model\\prophet_model.bin', 'random', 'seed=15211', 'data', 'file=C:\\Users\\GREATS~1\\AppData\\Local\\Temp\\tmptd8krvnh\\zzy954_c.json', 'init=C:\\Users\\GREATS~1\\AppData\\Local\\Temp\\tmptd8krvnh\\ps8kst4s.json', 'output', 'file=C:\\Users\\GREATS~1\\AppData\\Local\\Temp\\tmptd8krvnh\\prophet_modelf61e_pu8\\prophet_model-20240827015645.csv', 'method=optimize', 'algorithm=lbfgs', 'iter=10000']
2024-08-27 01:56:45,068 - INFO - Chain [1] start processing
2024-08-27 01:56:48,699 - INFO - Chain [1] done processing
2024-08-27 01:56:48,799 - DEBUG - cmd: where.exe tbb.dll
cwd: None
2024-08-27 01:56:49,308 - DEBUG - TBB already found in load path
2024-08-27 01:56:49,340 - INFO - Disabling yearly seasonality. Run prophet with yearly_seasonality=True to override this.
2024-08-27 01:56:49,420 - DEBUG - input tempfile: C:\Users\GREATS~1\AppData\Local\Temp\tmptd8krvnh\_qfroimg.json
2024-08-27 01:56:49,662 - DEBUG - input tempfile: C:\Users\GREATS~1\AppData\Local\Temp\tmptd8krvnh\3yt9uhhq.json
2024-08-27 01:56:49,697 - DEBUG - idx 0
2024-08-27 01:56:49,704 - DEBUG - running CmdStan, num_threads: None
2024-08-27 01:56:49,704 - DEBUG - CmdStan args: ['D:\\my projects\\Light Wave\\Blue Kite\\kite_env\\Lib\\site-packages\\prophet\\stan_model\\prophet_model.bin', 'random', 'seed=17288', 'data', 'file=C:\\Users\\GREATS~1\\AppData\\Local\\Temp\\tmptd8krvnh\\_qfroimg.json', 'init=C:\\Users\\GREATS~1\\AppData\\Local\\Temp\\tmptd8krvnh\\3yt9uhhq.json', 'output', 'file=C:\\Users\\GREATS~1\\AppData\\Local\\Temp\\tmptd8krvnh\\prophet_modelkqyfczk_\\prophet_model-20240827015649.csv', 'method=optimize', 'algorithm=lbfgs', 'iter=10000']
2024-08-27 01:56:49,707 - INFO - Chain [1] start processing
2024-08-27 01:56:52,660 - INFO - Chain [1] done processing
2024-08-27 01:56:55,456 - DEBUG - cmd: where.exe tbb.dll
cwd: None
2024-08-27 01:56:55,891 - DEBUG - TBB already found in load path
2024-08-27 01:56:55,927 - INFO - Disabling yearly seasonality. Run prophet with yearly_seasonality=True to override this.
2024-08-27 01:56:56,042 - DEBUG - input tempfile: C:\Users\GREATS~1\AppData\Local\Temp\tmptd8krvnh\b1_flcff.json
2024-08-27 01:56:56,225 - DEBUG - input tempfile: C:\Users\GREATS~1\AppData\Local\Temp\tmptd8krvnh\beclg0te.json
2024-08-27 01:56:56,241 - DEBUG - idx 0
2024-08-27 01:56:56,241 - DEBUG - running CmdStan, num_threads: None
2024-08-27 01:56:56,241 - DEBUG - CmdStan args: ['D:\\my projects\\Light Wave\\Blue Kite\\kite_env\\Lib\\site-packages\\prophet\\stan_model\\prophet_model.bin', 'random', 'seed=45179', 'data', 'file=C:\\Users\\GREATS~1\\AppData\\Local\\Temp\\tmptd8krvnh\\b1_flcff.json', 'init=C:\\Users\\GREATS~1\\AppData\\Local\\Temp\\tmptd8krvnh\\beclg0te.json', 'output', 'file=C:\\Users\\GREATS~1\\AppData\\Local\\Temp\\tmptd8krvnh\\prophet_modelc3ixk_tm\\prophet_model-20240827015656.csv', 'method=optimize', 'algorithm=lbfgs', 'iter=10000']
2024-08-27 01:56:56,241 - INFO - Chain [1] start processing
2024-08-27 01:56:57,123 - INFO - Chain [1] done processing
2024-08-27 01:56:57,168 - DEBUG - cmd: where.exe tbb.dll
cwd: None
2024-08-27 01:56:57,590 - DEBUG - TBB already found in load path
2024-08-27 01:56:57,607 - INFO - Disabling yearly seasonality. Run prophet with yearly_seasonality=True to override this.
2024-08-27 01:56:57,685 - DEBUG - input tempfile: C:\Users\GREATS~1\AppData\Local\Temp\tmptd8krvnh\4y4__adk.json
2024-08-27 01:56:57,792 - DEBUG - input tempfile: C:\Users\GREATS~1\AppData\Local\Temp\tmptd8krvnh\p91jelqx.json
2024-08-27 01:56:57,822 - DEBUG - idx 0
2024-08-27 01:56:57,822 - DEBUG - running CmdStan, num_threads: None
